date,red_fighter,blue_fighter,total_minutes,red_kd,red_sig_str_landed,red_sig_str_attempted,red_td_landed,red_td_attempted,red_sub_att,red_ctrl_seconds,blue_kd,blue_sig_str_landed,blue_sig_str_attempted,blue_td_landed,blue_td_attempted,blue_sub_att,blue_ctrl_seconds
2011-09-17,Matthew Riddle,Lance Benoist,15.0,0.0,26.0,51.0,4.0,4.0,0.0,418.0,0.0,39.0,66.0,1.0,3.0,0.0,296.0
2011-09-17,Ken Stone,Donny Walker,2.667,0.0,7.0,12.0,2.0,2.0,1.0,130.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
2011-09-17,Clay Harvison,Seth Baczynski,6.2,0.0,12.0,27.0,0.0,0.0,0.0,0.0,1.0,41.0,107.0,0.0,2.0,1.0,152.0
2011-09-17,TJ Waldburger,Mike Stumpf,3.867,0.0,4.0,7.0,3.0,4.0,2.0,194.0,0.0,0.0,4.0,0.0,0.0,1.0,24.0
2011-09-17,Robert Peralta,Mike Lullo,15.0,0.0,80.0,137.0,1.0,1.0,0.0,38.0,0.0,51.0,129.0,2.0,13.0,0.0,288.0
2011-09-17,Justin Edwards,Jorge Lopez,15.0,0.0,41.0,73.0,2.0,13.0,2.0,263.0,0.0,42.0,63.0,3.0,3.0,0.0,403.0
2011-08-27,Anderson Silva,Yushin Okami,7.067,2.0,43.0,61.0,0.0,0.0,0.0,33.0,0.0,16.0,43.0,0.0,1.0,0.0,111.0
2011-08-27,Mauricio Rua,Forrest Griffin,1.883,1.0,16.0,29.0,0.0,0.0,0.0,7.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0
2011-08-27,Ross Pearson,Edson Barboza,15.0,0.0,60.0,186.0,0.0,6.0,0.0,39.0,1.0,55.0,190.0,0.0,1.0,0.0,1.0
2011-08-27,Antonio Rodrigo Nogueira,Brendan Schaub,3.15,1.0,15.0,35.0,0.0,2.0,0.0,17.0,0.0,11.0,45.0,0.0,0.0,0.0,20.0
2011-08-27,Luiz Cane,Stanislav Nedkov,4.217,0.0,15.0,46.0,0.0,0.0,0.0,0.0,1.0,29.0,51.0,0.0,1.0,0.0,6.0
2011-08-27,Thiago Tavares,Spencer Fisher,7.85,0.0,10.0,26.0,3.0,7.0,0.0,401.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0
2011-08-27,Rousimar Palhares,Dan Miller,15.0,1.0,67.0,111.0,2.0,2.0,0.0,321.0,1.0,42.0,97.0,0.0,0.0,0.0,38.0
2011-08-27,Paulo Thiago,David Mitchell,15.0,0.0,19.0,69.0,6.0,6.0,1.0,295.0,0.0,23.0,120.0,0.0,0.0,0.0,37.0
2011-08-27,Raphael Assuncao,Johnny Eduardo,15.0,0.0,53.0,101.0,3.0,8.0,0.0,296.0,0.0,28.0,85.0,0.0,0.0,1.0,4.0
2011-08-27,Erick Silva,Luis Ramos,0.667,1.0,4.0,9.0,0.0,0.0,0.0,5.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0
2011-08-27,Iuri Alcantara,Felipe Arantes,15.0,0.0,22.0,52.0,6.0,6.0,0.0,435.0,0.0,29.0,47.0,0.0,0.0,0.0,134.0
2011-08-27,Yves Jabouin,Ian Loveland,15.0,0.0,37.0,106.0,2.0,6.0,0.0,60.0,0.0,33.0,102.0,3.0,7.0,1.0,151.0
2011-08-14,Dan Hardy,Chris Lytle,14.267,0.0,61.0,238.0,1.0,2.0,0.0,7.0,0.0,127.0,271.0,0.0,0.0,1.0,20.0
2011-08-14,Jim Miller,Benson Henderson,15.0,0.0,14.0,44.0,0.0,0.0,6.0,3.0,0.0,65.0,132.0,7.0,7.0,2.0,623.0
2011-08-14,Donald Cerrone,Charles Oliveira,3.017,0.0,30.0,60.0,0.0,0.0,0.0,12.0,0.0,10.0,29.0,0.0,0.0,0.0,0.0
2011-08-14,Amir Sadollah,Duane Ludwig,15.0,0.0,95.0,256.0,0.0,8.0,0.0,59.0,0.0,123.0,328.0,1.0,2.0,0.0,97.0
2011-08-14,CB Dollaway,Jared Hamman,8.633,0.0,19.0,40.0,3.0,7.0,1.0,174.0,0.0,53.0,113.0,0.0,0.0,0.0,219.0
2011-08-14,Joseph Benavidez,Eddie Wineland,15.0,0.0,66.0,144.0,0.0,6.0,0.0,8.0,0.0,24.0,71.0,0.0,1.0,0.0,20.0
2011-08-14,Ed Herman,Kyle Noke,4.25,0.0,2.0,6.0,1.0,1.0,3.0,12.0,0.0,12.0,13.0,1.0,3.0,0.0,205.0
2011-08-14,Ronny Markes,Karlos Vemola,15.0,0.0,40.0,52.0,6.0,6.0,0.0,776.0,0.0,8.0,24.0,0.0,4.0,1.0,36.0
2011-08-14,Jimy Hettes,Alex Caceres,8.2,0.0,2.0,7.0,5.0,9.0,2.0,268.0,0.0,13.0,25.0,0.0,0.0,0.0,130.0
2011-08-14,Cole Miller,TJ O'Brien,7.633,1.0,32.0,76.0,0.0,0.0,2.0,49.0,0.0,28.0,61.0,0.0,0.0,0.0,7.0
2011-08-14,Jacob Volkmann,Danny Castillo,15.0,0.0,6.0,16.0,3.0,5.0,6.0,468.0,0.0,22.0,30.0,1.0,4.0,0.0,185.0
2011-08-14,Edwin Figueroa,Jason Reinhardt,5.833,0.0,23.0,39.0,0.0,0.0,1.0,116.0,0.0,1.0,1.0,1.0,8.0,0.0,70.0
2011-08-06,Rashad Evans,Tito Ortiz,9.8,0.0,48.0,97.0,1.0,1.0,0.0,305.0,0.0,5.0,27.0,1.0,1.0,1.0,64.0
2011-08-06,Vitor Belfort,Yoshihiro Akiyama,1.867,2.0,12.0,25.0,0.0,0.0,0.0,9.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0
2011-08-06,Dennis Hallman,Brian Ebersole,4.467,0.0,0.0,1.0,1.0,1.0,1.0,136.0,0.0,19.0,24.0,0.0,0.0,0.0,127.0
2011-08-06,Jorge Rivera,Constantinos Philippou,15.0,0.0,25.0,70.0,1.0,2.0,0.0,306.0,1.0,35.0,89.0,2.0,3.0,1.0,334.0
2011-08-06,Rory MacDonald,Mike Pyle,3.9,0.0,24.0,37.0,0.0,0.0,2.0,108.0,0.0,3.0,17.0,2.0,4.0,0.0,62.0
2011-08-06,Matt Hamill,Alexander Gustafsson,8.567,0.0,13.0,34.0,0.0,6.0,0.0,0.0,1.0,37.0,98.0,0.0,0.0,0.0,21.0
2011-08-06,Chad Mendes,Rani Yahya,15.0,0.0,35.0,72.0,5.0,5.0,0.0,284.0,0.0,15.0,87.0,0.0,5.0,0.0,0.0
2011-08-06,Ivan Menjivar,Nick Pace,15.0,0.0,61.0,181.0,0.0,1.0,0.0,1.0,0.0,31.0,116.0,2.0,4.0,1.0,186.0
